cds,lea,county,i_exp,i_all,ii_exp,ii_all,iii_exp,iii_all,iii_plan_link
19647330106427,Synergy Charter Academy,Los Angeles,116340,116340,460716,460716,906463,1035663,https://4.files.edl.io/4bd5/09/28/21/211502-dba6be25-01b9-49df-bafb-e56beb6a9666.pdf
19647330106435,Camino Nuevo Charter High,Los Angeles,134856,134868,NaN,485208,NaN,1090718,
19647330106831,Animo Venice Charter High,Los Angeles,189736,189736,751375,751375,1682029,1689047,
19647330106849,Animo Pat Brown,Los Angeles,227585,227585,901260,901260,1975440,2025980,
19647330106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles,362488,362488,1435491,1435491,3226899,3226899,https://4.files.edl.io/8867/11/15/21/171615-b35246d1-1b7d-434c-9607-07162c3901a0.pdf
19647330106872,Bert Corona Charter,Los Angeles,111971,111971,422447,422447,933713,949637,https://drive.google.com/file/d/16eztWLb2dw4KLXHXLxXQ7faMcS0TNYTM/view
19647330107755,Port of Los Angeles High,Los Angeles,180558,180558,715027,715027,1607339,1607339,https://4.files.edl.io/5485/10/22/21/211312-af14ce0c-fef3-430e-b744-69cbfc6d9e0a.pdf
19647330108878,CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles,114591,114591,474124,474124,1065804,1065804,https://www.champscharter.org/ourpages/auto/2022/4/5/53336560/CHAMPS%20ESSER%20III%20EXPENDITURE%20PLAN%20_APRIL%202022_.pdf?rnd=1649202080842
19647330108886,Gabriella Charter,Los Angeles,128597,128597,509256,509256,992563,1144778,https://www.gabriellacharterschools.org/ourpages/auto/2015/10/13/49491638/Esser%20III%20Expenditure%20Plan%2C%20GCS%201%2C%20Board%20Approved.pdf?rnd=1650053262648
19647330108894,Alliance Judy Ivie Burton Technology Academy High,Los Angeles,225876,225876,897510,897510,2017549,2017549,https://4.files.edl.io/167b/01/12/22/233907-9a19e7b3-30e2-4e2c-9b26-fbd4caf11c88.pdf
19647330108910,ISANA Nascent Academy,Los Angeles,210057,210057,831848,831848,1868968,1869945,https://web.archive.org/web/20211127224436/https://isanaacademies.org/wp-content/uploads/ISANA-Nascent-Academy-ESSER-III-Expenditure-Plan41.pdf
19647330108928,Larchmont Charter,Los Angeles,198814,198814,787323,787323,1660070,1769855,https://www.larchmontcharter.org/_files/ugd/e6b093_7c3f9509cd744b6eb0e7d65bc3b0b9cf.pdf
19647330108936,Alliance Collins Family College-Ready High,Los Angeles,209362,209362,829095,829095,1863758,1863758,https://4.files.edl.io/aab1/12/03/21/202736-12cfd2c2-da8a-40b1-9d2a-e50c35d60dfc.pdf
19647330109884,James Jordan Middle,Los Angeles,135283,135283,535734,535734,1204300,1204300,https://www.jamesjordanms.com/pdf/JamesJordanMSesseriiiexpenditureplanv2%20_1_.pdf
19647330109934,Our Community Charter,Los Angeles,38793,38793,149556,149556,336193,336193,https://4.files.edl.io/9200/04/15/22/190215-ddfd224f-0970-4c1d-a669-1192f883affa.pdf
19647330110304,Los Angeles Academy of Arts and Enterprise,Los Angeles,125071,125071,459954,459954,779945,1033949,https://www.laaae.org/wp-content/uploads/2022/02/6.j.-ESSER-III-Expenditure-Plan_revised-1-13-22.pdf
19647330111211,New Heights Charter,Los Angeles,161228,161228,627499,627499,1410582,1410582,https://web.archive.org/web/20211130111435/https://www.newheightscharter.org/userfiles/40/my%20files/nhcs%20-%20esser%20iii%20expenditure%20plan.pdf?id=1265
19647330111484,New Village Girls Academy,Los Angeles,33768,33768,121484,121484,273089,273089,https://newvillagegirlsacademy.org/wp-content/uploads/2021/07/NVGA-ESSER-III-EP-FINAL.pdf
19647330111492,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles,218073,218073,853671,853671,1919003,1919003,https://4.files.edl.io/b7de/03/03/22/195007-a7ff973b-5b78-43d5-9f67-008708b9a59b.pdf
19647330111500,Alliance Dr. Olga Mohan High,Los Angeles,154139,154139,610407,610407,1372160,1372160,https://4.files.edl.io/a508/01/12/22/180800-2f610b11-ef93-4466-b270-16f24994e03d.pdf
19647330111518,Alliance Jack H. Skirball Middle,Los Angeles,166272,166272,658454,658454,1480152,1480166,https://4.files.edl.io/6698/11/12/21/200708-c18f33c8-cf3a-4e20-b1d4-dfa4c52a0b1b.pdf
19647330111575,Animo Ralph Bunche Charter High,Los Angeles,228623,228623,905368,905368,1970413,2035215,
19647330111583,Animo Jackie Robinson High,Los Angeles,229813,229813,910083,910083,1983142,2045813,
19647330111625,Animo Watts College Preparatory Academy,Los Angeles,206156,206156,808703,808703,1534158,1817918,
19647330111641,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles,361479,361479,1431493,1431493,3217911,3217911,https://4.files.edl.io/9bae/01/14/22/170300-c64a6c81-2bdc-422b-a5a0-4db470f7c538.pdf
19647330111658,Alliance Marc & Eva Stern Math and Science,Los Angeles,179348,179348,710236,710236,1596568,1596568,https://4.files.edl.io/c871/11/15/21/230949-e0550626-95d1-4715-90e1-ab7ab89b4306.pdf
19647330112201,PUC Excel Charter Academy,Los Angeles,114349,114349,423991,423991,787377,953108,https://www.pucexcel.org/apps/pages/esser-expenditure-plan
19647330112235,California Creative Learning Academy,Los Angeles,54815,54815,217071,217071,418862,487964,https://drive.google.com/file/d/1hvoscsmE0Hl1itUw09Ji3Ix9lbVoUpWl/view
19647330112508,Stella High Charter Academy,Los Angeles,178138,178138,705447,705447,1552636,1585802,https://brightstarschools.org/files/galleries/ESSER_III_Expenditure_Plan_BSSCA.pdf
19647330114884,Aspire Junior Collegiate Academy,Los Angeles,121847,121847,482527,482527,1084692,1084692,
19647330114959,Monsenor Oscar Romero Charter Middle,Los Angeles,124900,124900,494616,494616,1084662,1111869,https://drive.google.com/file/d/16e_3Eh1jGO9ukfd8SkToXIvNc5D54adO/view
19647330114967,Global Education Academy,Los Angeles,89437,89437,344709,344709,774887,774887,https://4.files.edl.io/863a/11/02/21/185416-1da92bfb-496a-482d-9b2b-8ee882fa09e1.pdf
19647330115048,Fenton Primary Center,Los Angeles,258791,258791,931041,931041,2048272,2092925,https://resources.finalsite.net/images/v1635811802/fentoncharternet/acepzptyvuu4vforymb8/FPCESSERIIIPlan101821.pdf
19647330115113,"Ivy Bound Academy of Math, Science, and Technology Charter Middle",Los Angeles,34246,34246,135618,135618,304862,304862,https://drive.google.com/file/d/1o9adHuA-vpyzfzWbFzCsgqMD7yLtzg1_/view
19647330115139,Center for Advanced Learning,Los Angeles,126224,126224,474279,474279,1006152,1066152,
19647330115253,Discovery Charter Preparatory #2,Los Angeles,85105,85105,306178,306178,369237,688271,https://discoveryprep.org/wp-content/uploads/2022/04/APPROVED-ESSER-III.pdf
19647330115287,ICEF Vista Middle Academy,Los Angeles,89307,89307,342292,342292,769451,769451,https://4.files.edl.io/8e71/01/17/22/013026-fb5d396e-e255-4bfb-a95f-794a7cea3ed5.pdf
19647330116509,Alliance Morgan McKinzie High,Los Angeles,133667,133667,584324,584324,1313526,1313526,https://drive.google.com/file/d/1sTJWCeeLSNjMFrwGWrNuV0fhJKIq1zfx/view
19647330117077,APEX Academy,Los Angeles,141873,141873,533081,533081,1198335,1198335,https://web.archive.org/web/20211127022216/https://apexacademyla.org/pdfs/APEX-ESSERIIIexpenditureplanOct25-21.pdf
19647330117598,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles,165088,165088,683060,683060,1535478,1535478,https://drive.google.com/file/d/1lfv_MPFmgGNDAZ2dbkjkOvMfTa3fL6sx/view
19647330117606,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles,164757,164757,624564,624564,1371548,1403983,https://4.files.edl.io/c6d6/04/06/22/143009-ee47402b-4b80-4409-8cde-5fd5b64916e8.pdf
19647330117614,New Los Angeles Charter,Los Angeles,106524,106524,421845,421845,672367,948282,https://4.files.edl.io/ca7c/01/19/22/225507-22f1a319-fe51-4834-b476-d258dba94178.pdf
19647330117622,Magnolia Science Academy 4,Los Angeles,47100,47100,169450,169450,380914,380914,https://www.magnoliapublicschools.org/ourpages/auto/2021/9/9/63010704/MSA-4%20ESSER%20III%20Expenditure%20Plan.pdf?rnd=1635808131401
19647330117648,Magnolia Science Academy 6,Los Angeles,46544,46544,183418,183418,412313,412313,https://www.magnoliapublicschools.org/ourpages/auto/2021/9/9/63010704/MSA-6%20ESSER%20III%20Expenditure%20Plan.pdf?rnd=1635808131401
19647330117655,Magnolia Science Academy 7,Los Angeles,70546,70546,279369,279369,628004,628004,https://www.magnoliapublicschools.org/ourpages/auto/2021/9/9/63010704/MSA-7%20ESSER%20III%20Expenditure%20Plan.pdf?rnd=1635808131401
19647330117846,Para Los Niños Middle,Los Angeles,204107,204107,734306,734306,1650676,1650676,https://paralosninos.org/wp-content/uploads/2022/04/CMS_esseriiiexpenditureplan-v2.pdf
19647330117895,Synergy Kinetic Academy,Los Angeles,183482,183482,726607,726607,1430069,1633369,https://4.files.edl.io/24c1/09/28/21/210353-fb3ea637-e179-4011-acb1-71d919924a80.pdf
19647330117903,KIPP Raices Academy,Los Angeles,181768,181768,719821,719821,1618115,1618115,https://campussuite-storage.s3.amazonaws.com/prod/735103/5e2e7db8-b8d5-11e6-bf0d-22000bd8490f/2320891/bee0dff6-1fd6-11ec-a738-0e89542fda31/file/KRA_2021_ESSER_III_Expenditure_Plan_20210914.pdf
19647330117911,New Millennium Secondary,Los Angeles,80482,80482,289545,289545,593928,650880,https://newmillenniumschool.org/wp-content/uploads/2024/01/ESSER-III-Expenditure-Plan-2022.pdf
19647330117937,ICEF Vista Elementary Academy,Los Angeles,130961,130961,518621,518621,1165829,1165829,https://4.files.edl.io/1c78/01/17/22/013026-513f0c4e-04e8-449d-88eb-c617fe747fab.pdf
19647330117952,ICEF Innovation Los Angeles Charter,Los Angeles,74162,74162,324305,324305,729019,729019,https://4.files.edl.io/c04a/01/17/22/013026-62cbdc95-4b63-4247-95ea-0852eddf2843.pdf
19647330117978,Goethe International Charter,Los Angeles,NaN,NaN,114355,114355,257064,257064,https://www.goethecharterschool.org/ourpages/auto/2021/11/18/39918391/GICS%20-%20ESSER%20III%20Expenditure%20Plan.pdf?rnd=1637252116433
19647330118588,Alain Leroy Locke College Preparatory Academy,Los Angeles,523238,523238,2063575,2063575,4612583,4638795,
19647330119982,Equitas Academy Charter,Los Angeles,159845,159845,633001,633001,1165647,1422949,https://static1.squarespace.com/static/6689ee0b938aa2542d2cfeb7/t/66a710a60a4d0f73b3657ad6/1722224806081/2021-22esseriiiexpenditureplanEQ.pdf
